step,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,mean,std,best
2000.000,1.942,1.871,1.913,1.998,1.953,1.788,1.751,2.032,1.861,1.845,1.895,0.085,1.895
4000.000,2.138,1.969,2.142,2.190,2.370,1.931,2.246,1.731,2.251,2.090,2.106,0.176,2.106
